review_id,user_name,date,rating,content,thumbs_up,app_version,developer_reply,reply_date
15df1d58-315a-49d2-a1c6-4c43239350a0,Garrett Wollman,2025-10-10 15:52:32,3,Imoroving my rating as some recent bugs seem to be fixed.,7,25.40.0,Apologies for this experience. We are aware of this issue and hope to have it fixed soon! Thank you for your understanding.,2025-09-08 14:12:17
6f5870f1-ce7c-4fb9-9b74-f912f7d7dc07,Karim ECH-Charqaouy,2025-10-10 15:42:52,5,good,0,25.39.0,,
4252d632-f385-48b9-9fb3-be2e72815e20,bigblade15,2025-10-10 14:38:27,3,this app will drop all your frequent eaten food at the drop of a hat. Do yourself a favor and add any frequently eaten foods to your meals so you don't lose them.,1,25.39.0,,
e25e2df3-e39e-4fea-a078-da14ca05eef8,Jennifer Betz,2025-10-10 14:31:42,1,"New redesign for Android that dropped today is AWFUL. Now it takes more steps to log food, more steps to see what I ate in each meal, harder to find specific nutrient values per meal, and I'm unable to move foods around to a different meal. I wish I hadn't just re-upped my annual subscription, or I would cancel immediately. Why would you remove so much of the functionality that the previous version had? PLEASE change it back.",1,,,
6d0a896b-579a-4966-9d93-8d375c4d27d0,PREM KUMAR,2025-10-10 13:59:22,4,good,0,25.39.0,,
ae86ee96-0f9c-4c3b-9466-4c9d852fcdec,Adam Erdman,2025-10-10 13:55:12,1,"I used to use this app all the time. had great features and was perfect for tracking calories and macros. like others have stated, everything is behind a paywall now. I'm ok with ads to make up for it being free, but simple things like the barcode scanning is not available for free users. in the age of AI, I'll probably just build my own app to do this.",1,25.39.0,Thank you so much for this valuable feedback. We have passed this along to our team for further review.,2025-10-10 14:51:10
5f11d484-e52d-41ae-af77-a0e7c093cad4,Nicolás Luque,2025-10-10 12:40:58,5,10/10. Me ayuda mucho a tener un tracking de mis comidas.,0,25.39.0,Thanks for the great review! We're happy you're enjoying MyFitnessPal. Need help? Contact our support team anytime at support@myfitnesspal.com or by visiting https://myfitnesspal.zendesk.com/hc/en-us . We're here for you!,2025-10-10 14:50:45
057968c3-b01f-4b36-9be5-4ad62b15edbe,Christina Chohon,2025-10-10 12:09:45,5,Updated review as of 10/10/2025: Removing stars until the date sort gets changed back to how it's been for years with the most recent date at the top. Scrolling through years of data to see recent data is a pain in the butt! Why the change MFP? Change it back please! Review as of 2019: Been using this app for years. It works well to help keep me accountable.,0,25.39.0,,
d92c8bbc-01ca-42d3-9848-ca8fd622e740,Marisabel Melendez,2025-10-10 11:50:43,1,"I've been a premium user since 2023, and I don't like the new update as of today October 10, 2025. My paid subscription will be canceled. Why make it harder to log food? It's not making sense at all. Switching apps is my way of telling you how horrible the new design is. This wasn't a perfect app, but now it's so horrible.",0,25.40.0,"We are sorry to hear you are not enjoying the current experience, but we have passed along this feedback to the appropriate team. If we can help with anything else or want to provide additional suggestions/context, please email us at support@myfitnesspal.com.",2025-10-10 14:49:59
f8c6ef45-10b3-4ce1-9dd2-5720e37651ca,Carolyn Robinson,2025-10-10 10:49:31,3,cannot change calore serving i.e. steamed kale from 1 cup to 3/4 cup,0,25.39.0,"Thank you for this suggestion to add default serving sizes. Our team will definitely consider this for a future update! In the meantime, please see https://myfitnesspal.zendesk.com/hc/en-us/articles/360032272852-The-serving-size-I-need-to-log-is-not-available for more information on how to change serving sizes.",2025-10-10 14:48:59
