app_id,date,rating,title,content,user_name,platform
570060128,2025-11-15 04:18:00-07:00,3,Used to be hearts,Instead of energy there used to be hearts and you go do lesson on lesson without worry or being rushed. Even if you don’t mess up you still lose energy.,Luvelyducky,App Store
570060128,2025-11-15 04:10:10-07:00,5,Kolton p diddy,This app is the best app in my opinion because all the all the languages and in and chest is my favorite thing to learn in my opinion definitely five star review,Uddutuldtihdyoydyoutuoto,App Store
570060128,2025-11-15 03:56:56-07:00,5,Who could ask for anything more !,Learning while having fun. Learning while waiting in line. Learning instead of scrolling mindlessly through social media. Duolingo is my 2nd option- after my Bible app. 😊,Catwalk Pantha,App Store
570060128,2025-11-15 03:56:34-07:00,1,Pierdo mi racha!!,Estúpido Duolingo yo ago mi racha y al día siguiente me dice que no e hecho mi racha 🤬,Íncrible,App Store
570060128,2025-11-15 03:54:24-07:00,3,Those notifications..,"The app is great by itself. It shows you how to learn a language, how to pronounce it, that’s great! But look, the notifications are a little annoying and creepy. Scince they were annoying when I first got the app, I deactivated them. But Duolingo just kept pushing me into reactivating them with a fake reward like “we will remind you when your energy bar’s full!” But it never reminded me of anything. It also send me a text saying “oh that’s VERY NORMAL!!! IGNORING YOUR STREAK IS CONPLETELY NORMAL!!” it’s kinda  creepy sometimes so be aware of that. Thank you for reading",❣️*-Z-*❣️,App Store
570060128,2025-11-15 03:52:09-07:00,3,Stuck on Pronunciation Exercise in Duolingo (iPhone 13),"I’m trying to submit a French pronunciation review on Duolingo. When a word appears, I press the audio button and say it. But after I speak, nothing happens. I can’t move to the next step. Even if I pronounce it incorrectly, it just stays on the same screen with only the audio button. It doesn’t allow me to continue.

Because of this, I have to exit the entire lesson, and I don’t get any points. I think this is a bug. I’m using an iPhone 13.",Sajjadhossin,App Store
570060128,2025-11-15 03:50:03-07:00,1,ENERGY SYSTEM NEEDS AN UPGRADE,"with the current energy system, you can only get through two lessons before you run out of energy, and it takes a long time to recharge. I like the concept of the energy system and I think it’s smarter than the heart system, but as it is right now it doesn’t allow for much actual learning, having used max in the past I no longer want to support the creators blatant misuse of AI to create buggy lessons that are not always reliable",magipie,App Store
570060128,2025-11-15 03:29:20-07:00,5,Best learning app,Love this app! I’ve tried other language apps but this is by far the easiest way to learn for me. I’m working on Spanish and French. I’m terrible with math so I’m doing the math as well. I’ve been learning chess and the chess lessons on here are the best and easiest to learn by far. I also play around with the music lessons. Really happy to see that I can use this app to learn to play my piano that has been sitting unused because I don’t know how to play it. There are so many skills you can build all in one place for a decent price.,St1ac2ey3,App Store
570060128,2025-11-15 03:22:50-07:00,3,Please change,The app keeps asking me do you want super doulingo and I don’t like that,Sofisamg,App Store
570060128,2025-11-15 03:09:47-07:00,5,I love this app,"This is the best app I could ever find, I am learning Italian and I know 10% of Italian now! I love this app",Lol_amongus,App Store
570060128,2025-11-15 01:04:03-07:00,5,Excelente,Muy bueno,Gatokeeee,App Store
570060128,2025-11-15 00:56:07-07:00,5,Duolingo,"Duolingo is soooooooo good like I now know so much Korean and I can talk to my friends in it it’s a really good app and If you want to use it you should set reminders on it because they really help. 🇰🇷🇰🇷 
Byeeeee",Seif Mills,App Store
570060128,2025-11-15 00:42:52-07:00,3,Almost too difficult to continue,"I’ve quit doing progressive daily lessons because it’s too hard to make it through a single lesson. Secondly, the Duolingo Max isn’t really helping me much. It’s also too difficult to level.",Tangenc,App Store
570060128,2025-11-15 00:33:49-07:00,1,Energy ruined the app,"Duolingo is a fun supplemental way to learn a language, but this new Energy system completely ruined the app. Just another sneaky tactic to try and get people to pay for a subscription. Bring back the heart system!",Avi3526,App Store
570060128,2025-11-14 23:47:30-07:00,5,8/10,Duolingo is very fun and i am almost full bilingual in Español. I am now learning arabic to go see my cousins.,Rebecca Haggar,App Store
570060128,2025-11-14 23:33:41-07:00,5,Duolingo is chef’s kiss,"It helped me a lot about learning new languages, it’s easy paced and it helps you understand better.",Mykah loves duo,App Store
570060128,2025-11-14 23:19:54-07:00,5,دوولينجو,دوولينجو انه ممتع للغايه و لا يحتاج لدفع شى  أنصحك بتحميله الآن لا تضيعون الفرصه 🌹,Abdullah.bander,App Store
570060128,2025-11-14 23:17:27-07:00,5,How much it helps,It helps me so much an I am geting to learn French it is so much fun and I am learning so Michael from one app,Jvhbhjfdfknjdbdfjvjghfdgvbfdmj,App Store
570060128,2025-11-14 22:48:31-07:00,3,Mixed,"There are things I like and dislike about it. The Japanese lessons seem great, but I have a background in both languages. Once I tried Arabic, a language I have no background in, the pedagogical flaws start to show. There isn’t a good explanation of how letters connect, there isn’t enough coverage of how the vowel sounds are different between the two languages. And after three days of lessons I have learned 0 praticle Arabic.
When I’m just stuck guessing which letters connect to make a sound clearly I am not/have not learned anything. Getting 10 XP for a five minute lesson just salts the wound of total demoralization.",randomcanon,App Store
570060128,2025-11-14 22:46:44-07:00,5,Duolingo,Best app to learn,Concorde99,App Store
570060128,2025-11-14 22:39:07-07:00,1,Не круто,"После каждого урока реклама ,без подписки один может 2 урока в день ,раньше было в миллион раз лучше ,если можно поставил бы -5звезд",Sout0_o,App Store
570060128,2025-11-14 22:38:46-07:00,1,frustrating microphone,the mic is picking up audio but not registering it as me saying anything it’s a very deterring annoyance,gold ship5,App Store
570060128,2025-11-14 22:16:21-07:00,1,Energy vs Learning…less than one star,"Energy punishes those who want to learn.  There is only enough energy to do a few lessons because it depletes with each step, mistakes or not.  Now you have to stop the learning process to buy more energy or be bombarded with ads and still not earn enough to do another lesson.  Doesn’t help those who make mistakes either because they also run out of energy after just a few lessons. What were you thinking?  If you don’t start out with enough energy, EVEN WITHOUT MAKING ANY MISTAKES, you can’t complete a lesson because the energy depletes no matter what. Think you should go back to hearts and let the learning continue.","Dull,constricting",App Store
